"org","orgLabel"
"http://scholars.cornell.edu/individual/org91080","East Asia Program"
"http://scholars.cornell.edu/individual/org76123","Library Annex"
"http://scholars.cornell.edu/individual/org65580","AMERICAN FEDERATION FOR AGING RESEARCH"
"http://scholars.cornell.edu/individual/org32730","Program on Ethics and Public Life (EPL)"
"http://scholars.cornell.edu/individual/org91220","NEOGEN CORPORATION"
"http://scholars.cornell.edu/individual/org76294","Center for Computational Biomedicine"
"http://scholars.cornell.edu/individual/org91375","UNIVERSITY OF CENTRAL FLORIDA"
"http://scholars.cornell.edu/individual/org68555","Feminist, Gender, and Sexuality Studies"
"http://scholars.cornell.edu/individual/org74265","NATL HISTOR PUBL&RECORD COM, GSA"
"http://scholars.cornell.edu/individual/org25528","NATL CTR FOR ADVANCING TRANSLATIONAL SCIENCES"
"http://scholars.cornell.edu/individual/org17767","Veterinary Library (Flower-Sprecher Veterinary Library)"
"http://scholars.cornell.edu/individual/org73941","OHIO STATE UNIVERSITY"
"http://scholars.cornell.edu/individual/org99597","NU-SKIN"
"http://scholars.cornell.edu/individual/org91743","UNIVERSITY OF MIAMI SCHOOL OF MEDICINE"
"http://scholars.cornell.edu/individual/org75930","Biomedical Sciences"
"http://scholars.cornell.edu/individual/org47006","Office of the University Counsel"
"http://scholars.cornell.edu/individual/org45449","Office of the AUL for Digital Scholarship and Preservation Services"
"http://scholars.cornell.edu/individual/org44544","Office of the Dean of Computing and Information Science"
"http://scholars.cornell.edu/individual/org41517","VERIZON CORPORATE SERVICES GROUP INC."
"http://scholars.cornell.edu/individual/org17591","MINER,W H AGR RES INST"
"http://scholars.cornell.edu/individual/org24693","INSTITUTE FOR EMPLOYMENT RESEARCH (IAB)"
"http://scholars.cornell.edu/individual/org57734","PEPSICO, INC"
"http://scholars.cornell.edu/individual/org98940","ARMY RESEARCH LABORATORIES"
"http://scholars.cornell.edu/individual/org67006","WESTERN KENTUCKY UNIVERSITY"
"http://scholars.cornell.edu/individual/org82016","UNIVERSITIES SPACE RESEARCH ASSOC"
"http://scholars.cornell.edu/individual/org19506","Cornell Electron Storage Ring (CESR)"
"http://scholars.cornell.edu/individual/org42085","ADVANCED ENERGY SYSTEMS"
"http://scholars.cornell.edu/individual/org37164","Polson Institute for Global Development"
"http://scholars.cornell.edu/individual/org17195","SLIC NETWORK SOLUTIONS"
"http://scholars.cornell.edu/individual/org36570","Organizational Behavior"
"http://scholars.cornell.edu/individual/org58440","BOOZ ALLEN HAMILTON"
"http://scholars.cornell.edu/individual/org34093","R. Brinkley Smithers Institute for Alcohol-Related Workplace Studies"
"http://scholars.cornell.edu/individual/org50578","NATIONAL ACADEMIES"
"http://scholars.cornell.edu/individual/org34428","THE ACADEMY OF ARCHITECTURE FOR HEALTH FOUNDATION"
"http://scholars.cornell.edu/individual/org67054","TUSKEGEE UNIVERSITY"
"http://scholars.cornell.edu/individual/org54039","Institute for Computational Sustainability"
"http://scholars.cornell.edu/individual/org33444","NATL INST OF DIABETES, DIGESTIVE & KIDNEY, NIH"
"http://scholars.cornell.edu/individual/org42277","BANK OF AMERICA AS TRUSTEE FOR THE PEACOCK TRUST"
"http://scholars.cornell.edu/individual/org57401","R-DEX SYSTEMS"
"http://scholars.cornell.edu/individual/org91007","NEW ENGLAND AQUARIUM"
"http://scholars.cornell.edu/individual/org32916","ARIZONA STATE UNIVERSITY"
"http://scholars.cornell.edu/individual/org75371","OKANAGAN BIOTECHNOLOGY INC."
"http://scholars.cornell.edu/individual/org41810","IMPERIAL COLLEGE OF LONDON"
"http://scholars.cornell.edu/individual/org99270","SAVE OUR SEASHORE INC."
"http://scholars.cornell.edu/individual/org15169","Laboratory for Elementary-Particle Physics (LEPP)"
"http://scholars.cornell.edu/individual/org86019","Human Capital Development (HCD)"
"http://scholars.cornell.edu/individual/org42941","Cornell IGERT in Cross-Scale Biogeochemistry and Climate"
"http://scholars.cornell.edu/individual/org86842","Cornell Nutrient Analysis Laboratory (CNAL)"
"http://scholars.cornell.edu/individual/org59594","Linguistics"
"http://scholars.cornell.edu/individual/org92335","Ecology and Evolutionary Biology"
"http://scholars.cornell.edu/individual/org32535","Institute for European Studies (IES)"
"http://scholars.cornell.edu/individual/org42557","3D BIO CORPORATION"
"http://scholars.cornell.edu/individual/org67190","INTERNATIONAL DUCK RESEARCH COOP, INC"
"http://scholars.cornell.edu/individual/org35227","Office of the Senior Vice Provost for Undergraduate Education"
"http://scholars.cornell.edu/individual/org34035","INTERNATIONAL PERSONNEL PROTECTION INC."
"http://scholars.cornell.edu/individual/org83242","ASML US INC."
"http://scholars.cornell.edu/individual/org91258","DUTCH WHOLESALERS ASSOC FOR FLOWERBULBS & NURSERY STOCK"
"http://scholars.cornell.edu/individual/org49413","NEW YORK ASSOCIATION OF TRAINING AND EMPLOYMENT PROFESSIONALS INC"
"http://scholars.cornell.edu/individual/org74772","NATL INST OF ARTHRITIS MUSCULOSKELETAL SKIN, NIH"
"http://scholars.cornell.edu/individual/org82720","BOSTON COLLEGE"
"http://scholars.cornell.edu/individual/org73893","BECKMAN FOUNDATION"
"http://scholars.cornell.edu/individual/org41936","IPEX MANAGEMENT INC."
"http://scholars.cornell.edu/individual/org99878","UNIVERSITY OF MICHIGAN"
"http://scholars.cornell.edu/individual/org58863","RESEARCH TRIANGLE INSTITUTE INTERNATIONAL"
"http://scholars.cornell.edu/individual/org32882","DIRECTORATE FOR BIOLOGICAL SCIENCES NSF"
"http://scholars.cornell.edu/individual/org66020","USDA ARS NORTH ATLANTIC AREA"
"http://scholars.cornell.edu/individual/org58203","HORIBA INSTRUMENTS INCORPORATED"
"http://scholars.cornell.edu/individual/org42104","MONROE COUNTY"
"http://scholars.cornell.edu/individual/org82058","ANIMAL/PLANT HLTH INSPEC SERV USDA"
"http://scholars.cornell.edu/individual/org33765","JSR CORPORATION"
"http://scholars.cornell.edu/individual/org38774","Division of Human Resources"
"http://scholars.cornell.edu/individual/org51675","Religious Studies Program"
"http://scholars.cornell.edu/individual/org48429","Scheinman Institute on Conflict Resolution"
"http://scholars.cornell.edu/individual/org12766","Tri-Institutional MD-PhD Program"
"http://scholars.cornell.edu/individual/org77315","Office of the Dean of Law School"
"http://scholars.cornell.edu/individual/org90697","Irving Sherwood Wright Center on Aging"
"http://scholars.cornell.edu/individual/org99614","UPJOHN INST FOR EMPLOYMENT RES"
"http://scholars.cornell.edu/individual/org64240","Clarke Business Law Institute"
"http://scholars.cornell.edu/individual/org41812","ROPER CENTER FOR PUBLIC OPINION RESEARCH INC."
"http://scholars.cornell.edu/individual/org83263","IMMUCELL CORPORATION"
"http://scholars.cornell.edu/individual/org33971","PEACE CORPS"
"http://scholars.cornell.edu/individual/org96688","AguaClara"
"http://scholars.cornell.edu/individual/org34400","GEORGE WASHINGTON UNIVERSITY"
"http://scholars.cornell.edu/individual/org26196","SEMICONDUCTOR RESEARCH CORPORATION EDUCATION ALLIANCE"
"http://scholars.cornell.edu/individual/org24016","Jewish Studies Program"
"http://scholars.cornell.edu/individual/org55261","Southeast Asia Program (SEAP)"
"http://scholars.cornell.edu/individual/org82117","PLANET OS INC."
"http://scholars.cornell.edu/individual/org25540","Cornell University Cognitive Science Program"
"http://scholars.cornell.edu/individual/org91464","VEECO INSTRUMENTS INC"
"http://scholars.cornell.edu/individual/org32260","Office of the AUL for Information Technology"
"http://scholars.cornell.edu/individual/org90391","GEORGIA INSTITUTE OF TECHNOLOGY"
"http://scholars.cornell.edu/individual/org57885","NY WINE/GRAPE FDN"
"http://scholars.cornell.edu/individual/org33526","CENTRE FOR ECONOMIC POLICY RESEARCH"
"http://scholars.cornell.edu/individual/org66171","SOCIETY FOR CONSERVATION BIOLOGY"
"http://scholars.cornell.edu/individual/org37772","Office of the Dean of Engineering"
"http://scholars.cornell.edu/individual/org57418","CORNELL JOAN AND SANFORD I. WEILL MEDICAL COLLEGE"
"http://scholars.cornell.edu/individual/org58946","OPEN SOCIETY FOUNDATIONS"
"http://scholars.cornell.edu/individual/org14599","Global Labor Institute (GLI)"
"http://scholars.cornell.edu/individual/org16556","ARTHREX INC."
"http://scholars.cornell.edu/individual/org25785","UNIVERSITY OF ST. ANDREWS"
"http://scholars.cornell.edu/individual/org42528","Cornell Center for Animal Resources and Education (CARE)"
"http://scholars.cornell.edu/individual/org94721","Office of Academic Diversity Initiatives (OADI)"
"http://scholars.cornell.edu/individual/org57634","NATL INST OF GENERAL MEDICAL SCIENCES, NIH"
"http://scholars.cornell.edu/individual/org33217","TAL APPAREL LIMITED"
"http://scholars.cornell.edu/individual/org99649","Insect Diagnostic Laboratory (IDL)"
"http://scholars.cornell.edu/individual/org90481","AGRICULTURAL MARKETING SERV, USDA"
"http://scholars.cornell.edu/individual/org90975","DOE ENERGY EFFICIENCY & RENEWABLE ENERGY"
"http://scholars.cornell.edu/individual/org32518","Cornell Institute for Women in Science (CIWS)"
"http://scholars.cornell.edu/individual/org58394","NINGXIA FORESTRY INSTITUTE LTD. CO."
"http://scholars.cornell.edu/individual/org85399","Office of the Dean of the College of Veterinary Medicine"
"http://scholars.cornell.edu/individual/org50641","DUPONT CENTRAL RESEARCH & DEVELOPMENT"
"http://scholars.cornell.edu/individual/org92116","Maddie's Shelter Medicine Program at Cornell"
"http://scholars.cornell.edu/individual/org97152","Infrastructure Properties and Planning"
"http://scholars.cornell.edu/individual/org85210","Philosophy"
"http://scholars.cornell.edu/individual/org58156","DELAVAL INTERNATIONAL AB"
"http://scholars.cornell.edu/individual/org21750","Cornell Higher Education Research Institute (CHERI)"
"http://scholars.cornell.edu/individual/org16719","COHERENT TECHNOLOGIES, INC."
"http://scholars.cornell.edu/individual/org32817","THE AMERICAN SOCIETY OF LABORATORY ANIMAL PRACTITIONERS"
"http://scholars.cornell.edu/individual/org47866","Cornell Institute for Fashion and Fiber Innovation (CIFFI)"
"http://scholars.cornell.edu/individual/org23988","American Indian Program"
"http://scholars.cornell.edu/individual/org17625","USDA AGRICULTURAL RESEARCH SERVICE BA"
"http://scholars.cornell.edu/individual/org41723","SOCIETY FOR THE CONSERVATION AND STUDY OF CARIBBEAN BIRDS"
"http://scholars.cornell.edu/individual/org61623","Fiber Science and Apparel Design"
"http://scholars.cornell.edu/individual/org82585","STOWERS INSTITUTE FOR MEDICAL RESEARCH"
"http://scholars.cornell.edu/individual/org42297","OAK RIDGE NATIONAL LABORATORY DOE"
"http://scholars.cornell.edu/individual/org98306","INTERNATIONAL SERV/ACQ OF AGRI-BIOTECH"
"http://scholars.cornell.edu/individual/org73496","Institute for Precision Medicine"
"http://scholars.cornell.edu/individual/org74908","VALENT U.S.A. CORPORATION"
"http://scholars.cornell.edu/individual/org25116","DUKE UNIVERSITY"
"http://scholars.cornell.edu/individual/org25784","BIOSEED RESEARCH INDIA PVT. LTD."
"http://scholars.cornell.edu/individual/org39931","School of Continuing Education and Summer Sessions"
"http://scholars.cornell.edu/individual/org24639","CENTER FOR PRODUCE SAFETY"
"http://scholars.cornell.edu/individual/org75172","NYS DEPT OF ECONOMIC DEVELOPMENT"
"http://scholars.cornell.edu/individual/org38400","Animal Health Diagnostic Center"
"http://scholars.cornell.edu/individual/org33946","NOVO NORDISK, LTD"
"http://scholars.cornell.edu/individual/org17543","NATL AGRICULTURAL STATISTICS, USDA"
"http://scholars.cornell.edu/individual/org37626","Cornell Institute for Food Systems Industry Partnership Program (CIFS-IPP)"
"http://scholars.cornell.edu/individual/org83003","VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY"
"http://scholars.cornell.edu/individual/org65803","UNIVERSITY OF SOUTHERN CALIFORNIA"
"http://scholars.cornell.edu/individual/org58645","UNIVERSITY OF ALASKA FAIRBANKS"
"http://scholars.cornell.edu/individual/org66535","BUREAU OF OCEAN ENERGY MANAGEMENT, REGULATION, AND ENFORCEMENT"
"http://scholars.cornell.edu/individual/org75006","CARRERA BIOSCIENCE INC."
"http://scholars.cornell.edu/individual/org24908","ARMY RESEARCH OFFICE"
"http://scholars.cornell.edu/individual/org12801","Cornell Lake Erie Research and Extension Lab (CLEREL)"
"http://scholars.cornell.edu/individual/org99498","SEOUL NATIONAL UNIVERSITY"
"http://scholars.cornell.edu/individual/org66802","AMERICAN COUNCIL OF LEARNED SOCIETY"
"http://scholars.cornell.edu/individual/org49772","UNIVERSITY OF NOTTINGHAM"
"http://scholars.cornell.edu/individual/org98942","GREAT LAKES RESEARCH CONSORT"
"http://scholars.cornell.edu/individual/org26592","Tri-Institutional Training Program in Computational Biology and Medicine"
"http://scholars.cornell.edu/individual/org34615","Cornell Lab of Ornithology"
"http://scholars.cornell.edu/individual/org17839","NUTRISYSTEM INC. CORPORATION"
"http://scholars.cornell.edu/individual/org25467","PARTNERSHIP FOR CLEAN COMPETITION"
"http://scholars.cornell.edu/individual/org17977","BRAIN & BEHAVIOR RESEARCH FOUNDATION"
"http://scholars.cornell.edu/individual/org84818","Geneva Experiment Station Library (Frank A. Lee Library)"
"http://scholars.cornell.edu/individual/org17437","BOEHRINGER INGELHEIM VETMEDICA INC."
"http://scholars.cornell.edu/individual/org74438","Information Science"
"http://scholars.cornell.edu/individual/org99824","NYS DEPT OF MOTOR VEHICLES"
"http://scholars.cornell.edu/individual/org91603","HANS-BOCKLER-STIFTUNG"
"http://scholars.cornell.edu/individual/org32799","ELECTRIC POWER RESEARCH INSTITUE"
"http://scholars.cornell.edu/individual/org75025","SYNGENTA CROP PROTECTION"
"http://scholars.cornell.edu/individual/org74616","BOYCE THOMPSON INSTITUTE"
"http://scholars.cornell.edu/individual/org77852","Clarke Center for International and Comparative Legal Studies"
"http://scholars.cornell.edu/individual/org82723","TERRA FOUNDATION FOR AMERICAN ART"
"http://scholars.cornell.edu/individual/org41179","OREGON STATE UNIVERSITY"
"http://scholars.cornell.edu/individual/org91107","GREAT LAKES FISHERY TRUST"
"http://scholars.cornell.edu/individual/org66940","CLEMSON UNIVERSITY"
"http://scholars.cornell.edu/individual/org92059","Office of the Provost"
"http://scholars.cornell.edu/individual/org33882","Nemo Farm Animal Hospital"
"http://scholars.cornell.edu/individual/org24671","DIRECTORATE FOR COMPUTER & INFORMATION SCIENCE & ENGINEERING NSF"
"http://scholars.cornell.edu/individual/org66250","RESEARCH CORPORATION"
"http://scholars.cornell.edu/individual/org74492","RADIABEAM TECHNOLOGIES"
"http://scholars.cornell.edu/individual/org42587","UNIVERSITY OF BRITISH COLUMBIA"
"http://scholars.cornell.edu/individual/org95547","Cornell Language Acquisition Laboratory (CLAL)"
"http://scholars.cornell.edu/individual/org71748","Energy Materials Center at Cornell (EMC2)"
"http://scholars.cornell.edu/individual/org66900","FRIENDS OF THE MEXICAN FUND FOR THE CONSERVATION OF NATURE"
"http://scholars.cornell.edu/individual/org22367","Mathematics Library"
"http://scholars.cornell.edu/individual/org32839","International Service for the Acquisition of Agri-Biotech Applications (ISAAA)"
"http://scholars.cornell.edu/individual/org87894","Industrial and Labor Relations Library (Martin P. Catherwood Library)"
"http://scholars.cornell.edu/individual/org98965","BINGHAMTON UNIVERSITY"
"http://scholars.cornell.edu/individual/org94495","Institute for the Study of the Continents (INSTOC)"
"http://scholars.cornell.edu/individual/org45008","Latin American Studies Program (LASP)"
"http://scholars.cornell.edu/individual/org90188","UES INC."
"http://scholars.cornell.edu/individual/org50607","ABBY S AND HOWARD P MILSTEIN FOUNDATION"
"http://scholars.cornell.edu/individual/org91735","SAUDI BASIC INDUSTRIES CORPORATION"
"http://scholars.cornell.edu/individual/org49898","DAVID & LUCILE PACKARD FND"
"http://scholars.cornell.edu/individual/org77636","Laboratory of Atomic and Solid State Physics (LASSP)"
"http://scholars.cornell.edu/individual/org74095","GERMANTOWN OPERATIONS OFFICE DOE"
"http://scholars.cornell.edu/individual/org56519","International and Comparative Labor"
"http://scholars.cornell.edu/individual/org99217","NATL INST ON AGING, NIH"
"http://scholars.cornell.edu/individual/org29982","Institute for Resource Information Systems (IRIS)"
"http://scholars.cornell.edu/individual/org34063","NE COOPERATIVE COUNCIL"
"http://scholars.cornell.edu/individual/org26154","ASSOCIATION UNIVERSITAIRE POUR LA RECHERCHE ECONOMIQUE SUR LE DEVELOPPEMENT"
"http://scholars.cornell.edu/individual/org12083","Business Simulation Laboratory"
"http://scholars.cornell.edu/individual/org17934","NORTH DAKOTA STATE UNIVERSITY"
"http://scholars.cornell.edu/individual/org20920","Berger International Legal Studies Program"
"http://scholars.cornell.edu/individual/org55272","Management and Organizations"
"http://scholars.cornell.edu/individual/org66551","EMD MILLIPORE CORPORATION"
"http://scholars.cornell.edu/individual/org32496","Community and Regional Development Institute (CaRDI)"
"http://scholars.cornell.edu/individual/org99512","PEW CHARITABLE TRUSTS"
"http://scholars.cornell.edu/individual/org42472","NATL HISTORICAL PUBS/REC COMM, NATL ARCHIVES"
"http://scholars.cornell.edu/individual/org90958","MONSANTO"
"http://scholars.cornell.edu/individual/org90264","UNIVERSITY OF CHICAGO"
"http://scholars.cornell.edu/individual/org82228","SAMUEL H. KRESS FOUNDATION"
"http://scholars.cornell.edu/individual/org42581","AFRICARICE"
"http://scholars.cornell.edu/individual/org26013","UNIVERSITY OF YORK"
"http://scholars.cornell.edu/individual/org78855","Center for Applied Math (CAM)"
"http://scholars.cornell.edu/individual/org16912","AMES RESEARCH CENTER, NASA"
"http://scholars.cornell.edu/individual/org99831","KENSEY-NASH"
"http://scholars.cornell.edu/individual/org75277","NATIONAL NUCLEAR SECURITY ADMINISTRATION DOE"
"http://scholars.cornell.edu/individual/org57416","Iris Cantor Women's Health Center"
"http://scholars.cornell.edu/individual/org49972","HDR INC."
"http://scholars.cornell.edu/individual/org50271","HEALTH RESEARCH INC"
"http://scholars.cornell.edu/individual/org65299","Institute for Comparative and Environmental Toxicology (ICET)"
"http://scholars.cornell.edu/individual/org83513","WORLD VISION, INC."
"http://scholars.cornell.edu/individual/org49588","ENVIRONMENTAL PROTECT AGENCY"
"http://scholars.cornell.edu/individual/org47053","Human Dimensions Research Unit"
"http://scholars.cornell.edu/individual/org24967","Office of the AUL for Central Library Operations"
"http://scholars.cornell.edu/individual/org34159","Army Reserve Officers Training Corps (AROTC)"
"http://scholars.cornell.edu/individual/org83062","NATIONAL MARINE MAMMAL LABORATORY"
"http://scholars.cornell.edu/individual/org17041","HISTOGENICS"
"http://scholars.cornell.edu/individual/org41645","NIH-NATIONAL CENTER FOR COMPLEMENTARY AND ALTERNATIVE MEDICINE NIH"
"http://scholars.cornell.edu/individual/org25721","ALBANY PINE BUSH PRESERVE COMMISSION"
"http://scholars.cornell.edu/individual/org42501","NETHERLANDS ORGANISATION FOR SCIENTIFIC RESEARCH"
"http://scholars.cornell.edu/individual/org99934","PARTNERS FOR ECONOMIC POLICY"
"http://scholars.cornell.edu/individual/org66365","UNIVERSITY OF NEW HAMPSHIRE"
"http://scholars.cornell.edu/individual/org17952","HUDSON RIVER FOUNDATION"
"http://scholars.cornell.edu/individual/org82432","Cornell Prison Education Program (CPEP)"
"http://scholars.cornell.edu/individual/org35459","Africana Studies"
"http://scholars.cornell.edu/individual/org49305","UNIVERSITY OF UTAH"
"http://scholars.cornell.edu/individual/org91601","NEW YORK APPLE GROWERS LLC"
"http://scholars.cornell.edu/individual/org57719","NATIONAL SPACE GRANT FOUNDATION"
"http://scholars.cornell.edu/individual/org65985","INTERNATIONAL FOOD POLICY RSCH INST"
"http://scholars.cornell.edu/individual/org34156","OSWEGO COUNTY SOIL AND WATER CONSERVATION DISTRICT"
"http://scholars.cornell.edu/individual/org66988","AMERICAN COLLEGE OF VETERINARY INTERNAL MEDICINE"
"http://scholars.cornell.edu/individual/org91088","GALLEON PHARMACEUTICALS INC."
"http://scholars.cornell.edu/individual/org33784","FERMI NATIONAL ACCELERATOR LABORATORY"
"http://scholars.cornell.edu/individual/org98423","CHICAGO OPERATIONS OFFICE DOE"
"http://scholars.cornell.edu/individual/org91480","UNIVERSITY OF NEUCHATEL"
"http://scholars.cornell.edu/individual/org98426","NATL SCIENCE FOUNDATION"
"http://scholars.cornell.edu/individual/org25049","WEILL CORNELL MEDICAL COLLEGE/QATAR"
"http://scholars.cornell.edu/individual/org41787","PIONEER HI-BRED INTERNATL INC"
"http://scholars.cornell.edu/individual/org99249","UNIVERSITY OF CALIFORNIA RIVERSIDE"
"http://scholars.cornell.edu/individual/org17251","GORDON & BETTY MOORE FOUNDATION"
"http://scholars.cornell.edu/individual/org88872","New York State AFL-CIO/Cornell Union Leadership Institute"
"http://scholars.cornell.edu/individual/org91170","ONONDAGA COUNTY"
"http://scholars.cornell.edu/individual/org81400","Cornell Tech (NYC)"
"http://scholars.cornell.edu/individual/org58164","NATIONAL INSTITUTE OF STANDARDS & TECHNOLOGY"
"http://scholars.cornell.edu/individual/org81917","Plant Biology Section"
"http://scholars.cornell.edu/individual/org98836","UNIVERSITY OF QUEENSLAND"
"http://scholars.cornell.edu/individual/org82833","NATIONAL GRAPE AND WINE INITIATIVE"
